id	rate
13251	2
16041	2
27105	2
38029	2
40099	2
47181	2
51147	2
72085	2
72137	2
16007	2
18179	2
20039	2
20075	2
27107	2
29111	2
31061	2
47075	2
1091	2
5111	2
18181	2
20119	2
27077	2
28043	2
28079	2
29223	2
30105	2
38085	2
46091	2
48207	2
48279	2
55065	2
8079	2
13263	2
17155	2
37027	2
46045	2
48285	2
48371	2
48411	2
2164	2
21175	2
22021	2
22053	2
32021	2
42113	2
48069	2
51117	2
5083	2
18155	2
20165	2
21143	2
27117	2
30071	2
31123	2
31173	2
18125	3
19007	3
19107	3
26119	3
30073	3
31005	3
31175	3
51830	3
8021	3
13181	3
13317	3
20089	3
21045	3
27157	3
28053	3
28091	3
47121	3
48335	3
54021	3
19145	3
22061	3
31011	3
32033	3
37143	3
46121	3
47161	3
48337	3
53069	3
56031	3
1039	3
1107	3
5127	3
13149	3
22101	3
40117	3
45081	3
56033	3
2060	3
12047	3
21153	3
21187	3
29129	3
31085	3
48341	3
5095	3
12013	3
19117	3
20145	3
21193	3
29033	3
31141	3
48261	3
48391	3
51135	3
72069	3
16067	3
18137	3
19189	3
20147	3
29133	3
48263	3
48395	3
48445	3
13193	3
17045	3
21197	3
29171	3
38021	3
45089	3
47101	3
16037	3
22111	3
27069	3
27101	3
29175	3
31097	3
32009	3
40095	3
72129	3
1119	3
2105	3
13197	3
30099	3
39141	3
48163	3
48313	3
1087	3
2275	3
46039	3
48133	3
51007	3
51037	3
55091	3
1023	3
5109	3
17053	3
20117	3
21135	3
27011	3
28041	3
28077	3
29045	3
46007	3
48497	3
54073	3
20077	3
20159	3
21137	3
29081	3
47185	3
48137	3
51077	3
51187	3
1093	3
5077	3
21139	3
21173	3
29083	3
35019	3
37091	3
45069	3
51079	3
1131	3
8047	3
13267	3
19003	3
21007	3
21219	3
38039	3
46095	3
47151	3
48211	3
48243	3
48413	3
72053	3
5117	3
19175	3
22023	3
27153	3
31037	3
46053	3
4011	4
20013	4
22095	4
31125	4
46101	4
8053	4
8087	4
17065	4
18159	4
19143	4
48379	4
8089	4
17003	4
20053	4
21149	4
22029	4
22099	4
31081	4
40115	4
48115	4
48427	4
12079	4
13277	4
21233	4
29163	4
38013	4
46025	4
48011	4
72065	4
1041	4
5055	4
20181	4
26095	4
28027	4
38057	4
46125	4
72067	4
1111	4
20025	4
31089	4
54095	4
72121	4
1013	4
5097	4
18103	4
21157	4
35037	4
48307	4
54063	4
18139	4
21125	4
21159	4
26069	4
27099	4
27135	4
29103	4
