"42808",\N,"1"
"14571","36073","1"
"75307",\N,"1"
"51899",\N,"1"
"52147","19065","1"
"43116","39129","1"
"14737","36009","1"
"23511","51710","1"
"78147","48493","1"
"14816","36015","1"
"32911",\N,"1"
"52362","19105","1"
"43280",\N,"1"
"14873","36101","1"
"32972",\N,"1"
"91432",\N,"1"
"62867","17059","1"
"75844","48001","1"
"91672",\N,"1"
"52745","19163","1"
"62931","17059","1"
"78389","48025","1"
"24085","51005","1"
"78522",\N,"1"
"24176","51067","1"
"78591","48427","1"
"43759","39013","1"
"24280","51167","1"
"43932","39081","1"
"76153",\N,"1"
"92041",\N,"1"
"78688",\N,"1"
"15435","42051","1"
"92096",\N,"1"
"15545","42009","1"
"6969",\N,"1"
"24815","54047","1"
"63952","29223","1"
"15772","42063","1"
"53701",\N,"1"
"44274","39103","1"
"15940","42021","1"
"33577",\N,"1"
"76821","48399","1"
"25235","54013","1"
"44352",\N,"1"
"16051","42019","1"
"53958",\N,"1"
"64146","29095","1"
"44450","39155","1"
"64473","29087","1"
"54180","55009","1"
"64667","29129","1"
"44680","39157","1"
"16546","42049","1"
"33915",\N,"1"
"7800",\N,"1"
"80047",\N,"1"
"65246","29041","1"
"26550",\N,"1"
"17016","42075","1"
"27007","37171","1"
"65582","29125","1"
"34295",\N,"1"
"93116",\N,"1"
"80456","8093","1"
"8176",\N,"1"
"65740","29213","1"
"80519",\N,"1"
"34566",\N,"1"
"8310","34001","1"
"93348",\N,"1"
"65892",\N,"1"
"80604",\N,"1"
"45475",\N,"1"
"80801","8121","1"
"45654","39073","1"
"54909","55097","1"
"93522","6027","1"
"66197",\N,"1"
"45735","39009","1"
"93601","6039","1"
"97476","41015","1"
"81123","8023","1"
"55089","27037","1"
"81242","8015","1"
"97723",\N,"1"
"9107",\N,"1"
"9610",\N,"1"
"28073","37045","1"
"201",\N,"1"
"17712",\N,"1"
"35412",\N,"1"
"67154","20015","1"
"667","72079","1"
"82142",\N,"1"
"35548","1093","1"
"738","72053","1"
"17960","42107","1"
"98084",\N,"1"
"35632",\N,"1"
"10102",\N,"1"
"67671","20051","1"
"83243","16071","1"
"94562",\N,"1"
"67897",\N,"1"
"1018",\N,"1"
"18296",\N,"1"
"46702","18069","1"
"68064","31055","1"
"1071","25013","1"
"83610","16087","1"
"46781","18179","1"
"98298",\N,"1"
"98352",\N,"1"
"36295",\N,"1"
"28638","37027","1"
"83816",\N,"1"
"10751",\N,"1"
"28693","37009","1"
"83938",\N,"1"
"18733",\N,"1"
"47114","18061","1"
"56218","27073","1"
"10945",\N,"1"
"68660","31011","1"
"47235","18013","1"
"56326","27041","1"
"98547","53027","1"
"36762",\N,"1"
"37011",\N,"1"
"11096","36059","1"
"68950","31001","1"
"84192",\N,"1"
"29088",\N,"1"
"69170","31111","1"
"37102",\N,"1"
"1866",\N,"1"
"56728","27069","1"
"98890",\N,"1"
"84761","49021","1"
"37222",\N,"1"
"29422",\N,"1"
"70159",\N,"1"
"2041",\N,"1"
"19360",\N,"1"
"47955","18107","1"
"57197","46099","1"
"57424","46049","1"
"95494","6045","1"
"29626","45007","1"
"70561",\N,"1"
"19651",\N,"1"
"58071","38003","1"
"99532",\N,"1"
"2355",\N,"1"
